"HolderAddress","Balance","PendingBalanceUpdate"
"0x43d1c3f382aef521dee336ab5f60e9aa61dc1c9a","100,000","No"
"0x62ffe25a9d13db47341a093762dca5df1c232157","100,000","No"
"0xd6322b57308ec70be308510930a9a9596f965c83","100,000","No"
"0xa283fea77426580fb8fd0c31626ec0edc9cff1db","100,000","No"
"0xe2188ad6285580be51368816ef8d0d98e9470c04","100,000","No"
"0xd901680e6f055ecbb23f7e7066d103af2c1376ce","100,000","No"
"0x2178eac81e5dc4bfb8829fd0e9b1c1671a3e8ed6","80,000","No"
"0x3bdfdc2f92ee10026fe8f90bf6eb07c84e8f6ade","75,133","No"
"0xb1a4c0d2b3de7c0b587c2fc75ae581dce51a08f4","64,555","No"
"0x8e589c704794a765a7af2546aff89a09bdd8f7eb","60,055","No"
"0x391682f281c87cebc2354d5c2ebc9fb7a66080bc","59,999","No"
"0xdb77f2a02d57ddc84c7c3091339e9bba2d076e02","59,999","No"
"0x5887a0c1a8d3980b7af8463ce1c13dd0245ae2f0","59,994","No"
"0x50e6bbba4415a91c65543ac9975bdd53993eb61a","58,875","No"
"0x1c445d8e26cd673b823f68d1625d7e9b8254206e","56,773","No"
"0x9be5cef17df9a85cf9d459bd6c0b5f6b275d5598","55,730","No"
"0xebacf095670915652c6dcadf5519781848e58ae6","55,530","No"
"0xddab72e38db33cd320b11c10a83fd8dffc70bb27","55,000","No"
"0x4e9af4b57778e480914359046b19c37b97373131","53,850","No"
"0x1ccb1686327ac99227518679e60e087e6f548f86","53,250","No"
"0xd4808530d752244c687e1eab3c7558d5838be8c9","52,081.478459100227836546","No"
"0xecd8b62ceea42c8dc5c77085f35409be523acda3","51,400","No"
"0x891ceaf2beaeadff6af7b427841b154544c7a6c2","51,135","No"
"0x19495b3a94ca4a425471cf457c2bf569f5329901","50,675","No"
"0xf2ccf58e6d50b11b2cb9767e7c33e8cad2c7d7a4","50,660.00026636225266356","No"
"0xbad13ce360a666bf4b14869a7290cb6c8a466f16","50,540","No"
"0xc60383b65772f432097bcb87fb55710a488f1435","50,500","No"
"0x1c79d37c5bb95b23c77a8d2a5cdaffaca45182f0","50,500","No"
"0xb21ad51aa21c73050da1afd3f9c7a5a3d61d22b0","50,500","No"
"0x48154da3ff039ac745f2dad2e356c1ef73ac5b99","50,500","No"
"0xa1836ebced20685cc57ba6bf8b570d32a53d9f3b","50,335","No"
"0xa327f1e7593baa1cf67f5cf5f6b4ab541a24882b","50,230","No"
"0x5d6c89ebf0259ce26be29ff5bce2f9f82f37d306","50,030","No"
"0xb69fd24d4874b2bb0708ad144ea2732be005a2f3","50,015","No"
"0x5e5d2a849009026fee6609bb4b21ac54ba882b32","50,000","No"
"0x2ec3c9f273447893b7589b1e19b45be50c21abe3","50,000","No"
"0x7a63987a383722493d3bc4523b76a5e69def793e","50,000","No"
"0x12122bc267cc9921b09c196479674d271541246f","50,000","No"
"0xebfcae17a17c4d1f7e502f6e43bb33fd351246b3","50,000","No"
"0x5593b86509eddf9aada3df31361d0c9f0988ad62","50,000","No"
"0x14aaca0615774f4c32b46c8319ffd4860a048e74","50,000","No"
"0x37a0b4945ccf85119518fc86e697960262e40b3c","50,000","No"
"0xc70b496277aaa87a90d05a99d231d1df5d93ac88","50,000","No"
"0x31dc3d64151c6643c2c881bd62fbaac70be65b0d","50,000","No"
"0x56b1b2a9b64e0b27e8a78a967bd3a65e55f5bfcc","50,000","No"
"0x75e4e3f19bb4c902c874c898e131739390d46303","50,000","No"
"0x46fe95137785abfb136950ca6cadfd87be746aa9","50,000","No"
"0x90e0b53a718acada5a9863d43fa1109656c17e48","50,000","No"
"0xa9c587948b7a81e9be7ca1c51c9683ff6fef2afa","50,000","No"
"0x9835ceefbedf9f5538d808d70f29b8a7c80bebb8","50,000","No"
"0xc6d0c32d0c2ab9ab3af408eb634779e76d3989d5","50,000","No"
"0xcc3a4c9760d12f127b03201fc6c93dac731e8543","50,000","No"
"0x718ae9ef437743c604c3d19870f3fd466c99f612","50,000","No"
"0xf9a2a6b9bfae7e7e246c9495028be6cce598f34d","50,000","No"
"0xc49c970adcb3510ea9906e5a3eb8ac044dd8243b","50,000","No"
"0x311ab12db38cc7a9702f5b2777889fcf7c87dffb","50,000","No"
"0x124aec97651476be2e76bf107904b3a1b3683d71","50,000","No"
"0xfdf13a4407967532674b592ffc1d218b2f89410f","50,000","No"
"0xcd76e10f71cc0c086ff1fdd993183d749b345da6","50,000","No"
"0x694d430394a403621c79fe582db88037f9b976a9","50,000","No"
"0x25d4fbef5e407c50951b047b54b5595c4e996c79","50,000","No"
"0xb1528a48e6d53a37cf0b2b7144c7b02b3fce7174","50,000","No"
"0x34a2c170e02fa0a5e72c8a51f734a131b69278a3","50,000","No"
"0x6df2f5f4ad79babf69d8b06c7bf928a20094b6f9","50,000","No"
"0x4f1cf1c3393e90fe2b45caad404cca4af0ce170d","50,000","No"
"0x4740523b147573c67a0d780407def433128d775a","50,000","No"
"0x853c7ddab4e404f3e9000736f032339102cb6e53","50,000","No"
"0xe21db2ffcafc684fd8f330f4825132126e8b0f8d","50,000","No"
"0xe4c98633eaa23ee8914124cce361103bea23235f","50,000","No"
"0x9d5d612f288d28c6407383be69acd4abdaf094d3","50,000","No"
"0x07588e1876ab1552fe7fa6760bb1c4742ad9365e","50,000","No"
"0x22ec28b41b8947efef8209df780f6a2f26b398c1","50,000","No"
"0x30e48b2d988b3c43550f7ff4c43d8cb66a9fbecb","50,000","No"
"0x9aa76070341c87a55b4807569007851c4686c3c4","50,000","No"
"0x040a9abac86b9040ef5483ded0a8ecf1065648d4","50,000","No"
"0xd142cfa3116142a8fae0333eafa049545c8c2b48","50,000","No"
"0xca697656711165550bc945ff95af17bbdf3edc86","50,000","No"
"0x39456bcf9713ede3fc2ec357792c8522c3766fd6","50,000","No"
"0x52fe41edd2d8fd87244758c1ab5c699c57c4015b","50,000","No"
"0xfc78a1988b8d40d8277e62814489108d72e21256","50,000","No"
"0x1e17cc2ad35e5dea443987b6fed3b9a463c051e5","50,000","No"
"0x94e95c8e8370c57bb4f7c1ada5c1b4250bfdba93","50,000","No"
"0x31cf5bb900970aa56b4be4bfe2cb3f9bf021740b","50,000","No"
"0xec65b0f26426f1e38768aa7f2a6aa6efa4fd0ced","50,000","No"
"0x483679586e648091593f3d19332de15211f3f51d","50,000","No"
"0x8fd38616ee5d9a81f2349f67335055337b7961fc","50,000","No"
"0x57fae652b057303b6d6a0b896e5f5328567f01f7","50,000","No"
"0x224318936a6f4949b3819f15457d3d4ac8959436","50,000","No"
"0x16f52d03d2de78748a1121f4a7335c512a1bc31d","50,000","No"
"0xc09a8872145d0a3b223f73134f86c8220363b913","50,000","No"
"0x9d45a24db93933561e75c93f61dff544f7ef769a","50,000","No"
"0xa55b41623e2bae5cb98015fb274941fc986c032f","50,000","No"
"0x1b7d82ad602498217e1ac7e6cea48301f76742d1","50,000","No"
"0xfa46e85ece0a83d11d16213419bc5a77b31f564f","50,000","No"
"0x18570a6d80fc20ea97d5d8439afa7360dee4ed2e","50,000","No"
"0xcbc3ad54ee208aee8d8d663406512a60d3b5edff","50,000","No"
"0x9b9f73e6266c7c6d571785cc23957d29ccc0ae22","50,000","No"
"0xc3c706f9a38075dddb23c1f8d96f082fd44db91c","50,000","No"
"0x25bd0e5259a570868d9d647e7c100d209b672acf","50,000","No"
"0xe506c2f5a0eb28f1cbfe065100d9abbfd7db8672","50,000","No"
"0x3d652cba02be7e2905fbc6c015c36b19b34391a2","50,000","No"
"0x5cd2dd9a5df7152d9074c820dd7070316e21f346","50,000","No"
"0x4cadcf32afa0d82d1427df7c6f8ed1e21329f8a8","50,000","No"
"0x457f195cd0c5c0db9f8d42b86831c026ae1c9a22","50,000","No"
"0x13487a90b07fb3aa422117fdc9a56f603cfdc042","50,000","No"
"0xa9123fa50678e4aa382d506be291ee5deffeadc5","50,000","No"
"0x39e50f21c023f3753bd20d6e27ba785a1f22d303","50,000","No"
"0xa3d2decc10931df5b6e50853faa604f338a91c67","50,000","No"
"0x8e5adc15234bbc22f793239d83b341fd5e9a4c64","50,000","No"
"0x39a050d70128485f39fcc0309a028691ee0f4836","50,000","No"
"0x4627830720c2bec42b288d1b3b4ea83192a74ae6","50,000","No"
"0xd641b7f5a6a0ba4069aae6c786e7cca71f31078e","50,000","No"
